Company,Date,Ticker Symbol,Open,High,Low,Close,Volume
Electronic Arts,2000-01-01,EA,82424.12939999999,90308.17928357993,77191.99230896517,78983.82120896518,31702900
Embracer Group,2016-12-01,EMBRAC-B.ST,300.7562329589425,333.6203393119935,269.8838880072144,299.7603380072144,1801158
Microsoft Gaming,2000-01-01,MSFT,114390.35726269262,135318.9125074549,106577.98218359528,115752.14421642006,342370400
NetEase Games,2000-07-01,NTES,229.3541100943197,229.3541100943197,182.76654435968848,229.3541100943197,0
Nintendo,2000-01-01,NTDOY,12901.167735968851,14979.688987610856,9604.203140521413,13187.860940521414,1597000
Playtika,2021-02-01,PLTK,50601.24772746301,52536.42280328402,44795.722499999996,50529.57634895727,11134800
Roblox Corporation,2021-04-01,RBLX,205128.5784925451,211973.36431715987,155172.38001642007,202763.36491793033,107105000
Sony Interactive Entertainment,2000-01-01,SONY,0.3506064417600846,0.40759802079533886,0.34519585358963273,0.35132784481110163,24017500
Take-Two Interactive,2000-01-01,TTWO,33877.51360189116,55845.33633159546,30771.67297392984,33781.94607064582,8119500
Tencent Interactive Entertainment,2004-07-01,0700.HK,80.3537405973433,86.91318404228295,73.79429008431448,80.3537405973433,233420548
